date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:08	118/118	---M--	200	added ('OK')	text/plain	etag:%2262da83bf-76%22	https://www.blockchainfirm.io/robots.txt		(from )
10:44:08	193846/193846	---MC-	200	added ('OK')	text/html	date:Mon,%2025%20Jul%202022%2015:32:03%20GMT	https://www.blockchainfirm.io/	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/index.html	(from )
10:44:08	3458/3458	---M--	200	added ('OK')	image/png	etag:%2262da83bf-d82%22	https://www.blockchainfirm.io/img/logo-shortcut.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/logo-shortcut.png	(from https://www.blockchainfirm.io/)
10:44:10	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/webi/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.blockchainfirm.io/)
10:44:10	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-1d970%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/webi/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.blockchainfirm.io/)
10:44:11	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://netdna.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/webi/netdna.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.blockchainfirm.io/)
10:44:11	45368/45368	---MCZ	200	added ('OK')	text/css	etag:W/%2262da83bf-b138%22	https://www.blockchainfirm.io/css/home.css	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/css/home.css	(from https://www.blockchainfirm.io/)
10:44:12	3020/3020	---MCZ	200	added ('OK')	text/css	etag:W/%2262da83bf-bcc%22	https://www.blockchainfirm.io/css/owl.carousel.min.css	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/css/owl.carousel.min.css	(from https://www.blockchainfirm.io/)
10:44:12	45173/45173	---MCZ	200	added ('OK')	text/css	etag:W/%2262da83bf-b075%22	https://www.blockchainfirm.io/css/style-dist.css	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/css/style-dist.css	(from https://www.blockchainfirm.io/)
10:44:12	6425/6425	---MCZ	200	added ('OK')	text/css	etag:W/%2262da83bf-1919%22	https://www.blockchainfirm.io/css/navigation.css	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/css/navigation.css	(from https://www.blockchainfirm.io/)
